ST,CB,PB,GO,CA,Methodology,Rebal.,Cost,Volatility,Return_1M,Return_3M,Return_6M,Return_9M,Return_12M
85,5,5,0,5,1-OFF,NO,190,6.518327682122281,-0.11,-16.9,-5.19,-2.79,4.57
85,5,5,0,5,1-OFF,YES,190,6.5706791789940056,-0.11,-16.82,-4.79,-2.31,5.12
85,5,5,0,5,DCA,NO,190,6.265657316905064,-0.11,-15.06,2.52,3.96,10.51
85,5,5,0,5,DCA,YES,190,5.668071888056804,-0.01,-14.96,3.4,3.22,9.35
85,5,0,10,0,1-OFF,NO,195,6.810402716466378,0.13,-16.81,-3.76,-0.59,6.95
85,5,0,10,0,1-OFF,YES,195,6.8809370548813655,0.13,-16.79,-3.59,-0.41,7.35
85,5,0,10,0,DCA,NO,195,6.268979908010285,0.13,-15.07,3.51,5.08,11.54
85,5,0,10,0,DCA,YES,195,5.677309612424994,0.17,-15.03,4.34,4.34,10.28
85,5,0,5,5,1-OFF,NO,186,6.681557899163382,-0.06,-16.95,-4.58,-1.74,5.75
85,5,0,5,5,1-OFF,YES,186,6.738656346090761,-0.06,-16.87,-4.27,-1.39,6.25
85,5,0,5,5,DCA,NO,186,6.267963270323842,-0.06,-15.1,3.01,4.55,11.09
85,5,0,5,5,DCA,YES,186,5.674878341697979,0.01,-15.01,3.88,3.82,9.89
85,5,0,0,10,1-OFF,NO,178,6.580029538995335,-0.25,-17.09,-5.39,-2.89,4.56
85,5,0,0,10,1-OFF,YES,178,6.615523752403327,-0.24,-16.95,-4.94,-2.37,5.14
85,5,0,0,10,DCA,NO,178,6.266971444105535,-0.25,-15.13,2.5,4.02,10.64
85,5,0,0,10,DCA,YES,178,5.6725378707649154,-0.15,-15.0,3.42,3.31,9.51
85,0,15,0,0,1-OFF,NO,211,6.374818760882035,0.09,-16.5,-5.18,-2.82,4.4
85,0,15,0,0,1-OFF,YES,211,6.45238436179385,0.1,-16.51,-4.81,-2.36,4.91
85,0,15,0,0,DCA,NO,211,6.2632336447277694,0.09,-14.81,2.25,3.76,10.22
85,0,15,0,0,DCA,YES,211,5.660547846136993,0.21,-14.77,3.14,3.0,9.0
85,0,10,5,0,1-OFF,NO,208,6.531127900446301,0.15,-16.55,-4.57,-1.77,5.58
85,0,10,5,0,1-OFF,YES,208,6.614415963934071,0.15,-16.57,-4.29,-1.45,6.03
85,0,10,5,0,DCA,NO,208,6.265542349799075,0.15,-14.86,2.73,4.35,10.8
85,0,10,5,0,DCA,YES,208,5.667359300830398,0.23,-14.82,3.61,3.59,9.55
85,0,10,0,5,1-OFF,NO,199,6.435047226649913,-0.04,-16.69,-5.38,-2.92,4.39
85,0,10,0,5,1-OFF,YES,199,6.496133454324172,-0.03,-16.65,-4.96,-2.43,4.93
85,0,10,0,5,DCA,NO,199,6.264545929079299,-0.04,-14.89,2.23,3.82,10.35
85,0,10,0,5,DCA,YES,199,5.66501524124053,0.07,-14.81,3.15,3.08,9.17
85,0,5,10,0,1-OFF,NO,204,6.717325402981884,0.2,-16.6,-3.96,-0.72,6.77
85,0,5,10,0,1-OFF,YES,204,6.798683881160255,0.2,-16.62,-3.77,-0.53,7.16
85,0,5,10,0,DCA,NO,204,6.267871434473515,0.2,-14.9,3.22,4.94,11.38
85,0,5,10,0,DCA,YES,204,5.674238870868407,0.25,-14.88,4.09,4.19,10.09
85,0,5,5,5,1-OFF,NO,195,6.592723113649426,0.02,-16.74,-4.77,-1.87,5.57
85,0,5,5,5,1-OFF,YES,195,6.659821842563531,0.02,-16.7,-4.44,-1.52,6.05
85,0,5,5,5,DCA,NO,195,6.2668532245996476,0.02,-14.93,2.72,4.4,10.93
85,0,5,5,5,DCA,YES,195,5.671815446315815,0.1,-14.86,3.63,3.68,9.71
85,0,5,0,10,1-OFF,NO,186,6.49621015606727,-0.17,-16.88,-5.58,-3.03,4.37
85,0,5,0,10,1-OFF,YES,186,6.540528562238338,-0.17,-16.78,-5.12,-2.5,4.95
